Category,cleaned_text
HR,technical skill â¢ typewriting â¢ tora â¢ spsseducation detail january mba chidambaram tamil nadu sn college engineering january hsc sav higher secondary school mba sn college engineering sslc finance kamaraj matriculation schoolhrskill detail human resource finance exprience le year monthscompany detail company description
HR,skill â¢ window office word excel lookup pivot table basic function power point â¢ saral payment package payroll software â¢ internet applicationseducation detail january bachelor hospitality management international hospitality management queen margaret university edinburg january diploma hotel management international institute hotel managementhrskill detail management exprience le year monthscompany detail company atri developer description â¢ payroll statutory compliance performance management company description employee relation administration creating industry specific policy procedure form format letter checklist etc payroll management salary restructuring process payroll employee â¢ validation input attendance leaf salary starting salary process â¢ processing accurate error free salary employee â¢ responsible compensation benefit administration â¢ coordinate account team salary processing â¢ attendance leave record management â¢ assuring prompt satisfactory resolution payroll related query employee statutory compliance management â¢ manage various statutory compliance requirement esic gratuity tds etc calculation deduction payment return filing â¢ generate statutory report like form form 24q conducting session employee statutory policy procedure compliance related topic â¢ shop commercial establishment act â¢ payment gratuity act recruitment selection handling recruitment like job posting naukri portal coordination create annual manpower plan budget screen schedule preliminary interview arrange employee orientation handling joining formality salary account opening formality performance management end end facilitation pm starting creating job description appraisal form disbursement letter kra setting midyear review annual review handling appraisal activity degree training development conduct training need analysis arrange various training session employee engagement employee welfare creation deployment sale reward recognition scheme periodic interactive session like monthly birthday celebration annual day diwali dhamaka offsite etc working saral payment package payroll software well excel assisting work offering suggestion answering employee query payroll compliance related issue benefit insurance medical reimbursement full final settlement resigned employee
HR,education detail mumbai universityhrskill detail operation exprience le year monthscompany detail company mumbai monorail description
HR,education detail june may economics chennai tamil nadu sdnbvchrskill detail company detail company anything solution description
HR,education detail june may economics chennai tamil nadu sdnbvchrskill detail company detail company anything solution description
HR,education detail bba lovely professional universityhrskill detail communication exprience monthscompany detail company description
HR,education detail mba acn college engineering mgthrskill detail company detail company assistant description
HR,key skill â¢ computerized accounting tally â¢ sincere hard working â¢ management accounting income tax â¢ good communication leadership â¢ two four wheeler driving license â¢ internet ecommerce management computer skill â¢ language â¢ web programing â¢ tally â¢ dbms education detail june june mba financehr india mlrit june june bcom computer hyderabad telangana osmania university june april inter mec india srimedhavhrnaniskill detail accounting exprience month database management system exprience month dbms exprience month management accounting exprience month ecommerce exprience monthscompany detail company valuelabs description give rrf form required dlt hand rlt scrum master take form rlt scrum master give form trainee work requirement till candidate receive offer company
HR,training special education certificate course education detail july october msc psychology specialization organizational behaviour malappuram kerala calicut university july march bsc psychology thrissur prajyoti niketan collegehrskill detail company detail company description done day internship department foster hot bread kinfra malappuram kerala also done day internship santhwana institute counselling psychotherapy cochin kerala counsellor
HR,computer knowledge â¢ proficient basic use office â¢ microsoft dynamic software â¢ saiba softwareeducation detail mba distance education bharathiar university college engineering technology hsc rvg sec school ssc ghrsec schoolhradmin bharatskill detail dynamic exprience month dynamic exprience month microsoft dynamic exprience month microsoft dynamic exprience month office exprience monthscompany detail company sri ramesh gaarment description tirupur administration well client service corporate company insured knowledge gathered garment spinning mill â¢ feb still sri ramesh gaarment tirupur activity attendance maintenance time card maintenance staff labor individual record maintenance project â¢ advanced automobile collision avoidance blackbox car
HR,software skill â¢ general computer proficiency â¢ program langages known java web programming â¢ tool software know matlab dbms key strength â¢ posse good communication analytic skill â¢ positive thinking sincere hard work honesty responsibility â¢ enthusiastic learn new skill take new task â¢ self motivated â¢ ready accept challenge education detail january january computer science engineering computer science engineering adichunchanagiri institute technology chikmagalurhrskill detail database management system exprience month dbms exprience month java exprience month matlab exprience monthscompany detail company truly description jayashree
Advocate,technical qualification â¢ window officeeducation detail llb guwahati assam university law college guwahati university bsc jagiroad assam jagiroad college morigaon collegeadvocateadvocate gauhati high courtskill detail company detail company gauhati high court description gauhati high court subordinate court tribunal statutory body guwahati numerous experience civil criminal case case consumer forum â¢ handling good number civil well criminal matter district session judge court judge court cjm court consumer forum also high court â¢ working executive legal hindustan paper corporation limited govt india enterprise nagaon paper mill since jan strength â¢ adaptability penchant adapt condition level environment accordance requirement given situation â¢ interpersonal extrovert core prefer interact people walk life varying stratum society ability quickly establish rapport others â¢ team work enjoy part group achieve combined goal role responsibility hpc ltd â¢ assisting briefing counsel matter relating nagaon paper mill cachar paper mill also nagaland pulp paper corporation ltd â¢ task legal vetting nibsnits term condition etc â¢ providing legal view protect interest corporation â¢ assisting formulation drafting disciplinary matter â¢ liaisoning local body also forum
Advocate,education detail bcom llb university clacutta university burdwanadvocateskill detail taxation matter income tax gst tax account exprience le year month filing income tax return gst return etd air exprience le year monthscompany detail company practice description drafting preparation plaint account move relevant authority hear case
Advocate,education detail llb dibrugarh universityadvocateskill detail legal exprience le year monthscompany detail company legal description â¢ advocate
Advocate,education detail november january llm master law hyderabad telangana sultan uloom college law september may ballb bachelor law hyderabad telangana osmania university college lawadvocateexperienced litigation recently acquired master degree lawskill detail microsoft word exprience le year month litigation exprience le year month legal research exprience le year month contract exprience le year month internet savvy exprience le year month drafting exprience le year monthscompany detail company lrc office description â¢ working senior advocate ravichander high court telangana â¢ experience drafting â¢ legal correspondence
Advocate,skill â¢ know english native speaker ielts overall listening reading writing speaking hindi bilingual proficiency punjabi native speaker â¢ able communicate clearly concisely people diverse background level authority â¢ exceptional knowledge administrative procedure evidence rule trial â¢ maintain professional attitude peer coworkers client time â¢ focused driven always meet deadline pretrial procedure trial appellate briefing effectively utilizing resource â¢ microsoft certified system engineer much competent window word processing software education detail july may bachelor law bikaner rajasthan maharaja ganga singh university august november microsoft certified system engineer networking chandigarh july april bachelor science bioinformatics chandigarh chandigarh panjab universityadvocatenewcomer indian advocateskill detail administration exprience month legal research exprience month microsoft office exprience month drafting exprience monthscompany detail company district court description key feature â¢ licensed advocate practice 16aug bar council punjab haryana chandigarh â¢ admitted practice district court mansa since 18aug â¢ successfully passed india bar examination aibe conducted bar council india bci september â¢ leadsole counsel plaintiff respondent number criminalcivil trial â¢ since prepared prosecuted conclusion either trial settlement number claim case involving personal injury death case â¢ working panel district legal service authority mansa run supervision national legal service authority india â¢ former coopted member administrative committee punjab â¢ former joint secretary district bar association mansa job duty â¢ advice client legal right matter related law â¢ plead client case include various international company court law forum tribunal board â¢ researching legal precedent gathering evidence trial criminal injury death compensation claim others â¢ draw legal document bail petition appeal divorce contract etc â¢ negotiates settlement civil dispute â¢ act mediator conciliator local commissioner arbitrator per court order â¢ managing private practice year including aspect administration management function controlling cost achieving objective related practice law
Advocate,qualification introduction computer extraeducation detail january january master law chennai tamil nadu drambedkar law university january january bachelor law chennai tamil nadu ambedkar law university january january bachelor english literature tirunelveli tamil nadu manonmaniam sundaranar universityadvocateadvocateskill detail company detail company practiced description high court judicature madras india city civil court chennai debt recovery tribunal chennai consumer forum chennai labour court small cause court rent control court legal advisor christian institute management chennai legal advisor ruah church chennai nessa trust till
Advocate,skill natural language proficient english hindi marathi computer skill proficient msoffice internet operationeducation detail january january llb law mumbai maharashtra mumbai university january bmm mumbai maharashtra sksomaiya college mumbai university hsc asmita girl junior college maharashtra board ssc vidya bhawan maharashtra boardadvocatellb student journalistskill detail company detail company criminal lawyer law firm description
Advocate,skill legal writing efficient researcher legal education family law criminal defence environment law litigation business legal issue banking law commercial laweducation detail january llm criminology pune maharashtra university pune january llb law pune maharashtra university pune january diploma labour law pune maharashtra university puneadvocateadvocateskill detail legal writing exprience month litigation exprience monthscompany detail company family criminal district session court description legal consultancy service cooperative bank scheduled bank private bank client federal bank chinchwad pune bharat cooperative bank chinchwad pune icici bank scope work finalising loan agreement mortgage agreement release deed notice intimation title deed search report drt case legal notice recovery due filing summary suit paper notice power attorney indemnity bond family law legal consultancy representation matter relating family dispute marriage divorce succession adoption etc lok adalat panel judicial member four time
Advocate,good grasping quality skillful work education detail march march law solapur maharashtra solapur universityadvocateskill detail good knowledge typing well many activity exprience le year monthscompany detail company district session court solapur description forward thinking individual refined interpersonal multitasking skill looking join progressive organization provide assistance legal work company district session court solapur description provide legal assistance legal work
Advocate,â¢ hard working â¢ quick learnereducation detail june may llb law mumbai maharashtra mumbai university january bcom commerce mumbai maharashtra mumbai university january hsc maharashtra board january ssc maharashtra boardadvocateskill detail company detail company vidishtra description
Arts,â¢ good communication skill â¢ quick learner â¢ keen find solutionseducation detail mba marketing international business management pune maharashtra pune university btech tech nagpur maharashtra rtm nagpur universitygm art commerce sciencegm art commerce scienceskill detail company detail company samarth college description engineering college campus college pharmacy day workshop art commerce science soft skill day workshop college personality institute agricultural day workshop development diploma soft skill samarth college polytechnic day workshop total working experience corporate topic company day total hr presentation skill team elringklinger automotives pvt day building workshop ltd ranjangaon pune negotiation skill kubler automation pvt ltd day communication skill chakan pune business communication finanza home loan pimple day stress management saudagar pune teambuilding verbal sharvari product pvt ltd day communication junner pune day entrepreneurship agriculture research centre workshop development narayangaon pune batch total adjoining skill â¢ working knowledge window operating system office â¢ communicate well english hindi marathi â¢ organized participated event like gathering teacher day fashion show various science exhibition college
Arts,â¢ operating system window vista 07education detail january mfa painting nagpur maharashtra nagpur university january bfa painting nagpur maharashtra nagpur university january diploma art maharashtra state board january hsc maharashtra state board january ssc maharashtra state boardfine art lecturerskill detail mscit exprience monthscompany detail company shubhankan fine art college indore description â¢ job lecturer shubhankan fine art college indore nov â¢ artist completed atd bfa mfa painting â¢ searching job faculty area comfort place improve knowledge experience field company description experience class painting rangoli drawing summer class etc health physical disability orthopedically
Arts,additional qualification april web designing course average computer skillseducation detail january january bachelor art sociology mumbai maharashtra mumbai university january january bachelor art sociology sophia college january january hsc sophia college january january ssc teresa convent high schoolhead business development artshead business development artsskill detail company detail company british council description responsibility strategic oversight responsibility programme performing art music theatre dance cultural sector lead conception oversight specific largescale programme within overall art programme represent british council external event india act deputy director art required oversee manage resource deliver compelling communication applicant convey british council grant like charles wallace india trust young creative entrepreneur chevening clore scholarship program time excellence shortlisting interviewing potential applicant existing relevant grant fellowship oversee diverse range proposal progress report related project ensuring effective timely identification communication program progress lead team six project manager across country manage performance team responsible executing art project partnership built work expertise within geographic region ensure art insight knowledge available required managing relation existing partner developing relationship targeted new partner key government official ensuring market insight business development opportunity built planning new programme primary strategic responsibility marketing art program india ensure program build reputation attractive potential partner partnership marketing communication team company british council description cultural relation organization creating international opportunity people country building trust worldwide office six continent country bringing international opportunity life every day year work million people connecting united kingdom sharing culture uk attractive asset english art education year experience company british council description responsibility leading strategic development british council work music sector india sri lanka region building maintaining strong international partnership across sector india sri lanka developing strong external partnership lead significant external investment activity enabling delivery ambitious programme music sector activity event thus strengthening cultural relationship india sri lanka leading implementation music programme within india sri lanka along detailed project plan liaison colleague india sri lanka proactive management budget timeline project ensuring systematic evaluation project including developing effective system process capturing quantitative qualitative information effectiveness project longer term impact management team across india sri lanka contributing recruitment development mentoring staff company british council description responsibility planning organizing logistics related event building performersartists personnel marketing performance event social medium direct mail advertising use website producing poster publicity leaflet attracting medium coverage planning managing budget programming booking performance event including arrangement tour india development new project initiative consultation art professional key stakeholder local authority local government community venue director regional partner taking responsibility operational office management issue venue accessibility health safety issue implementing maintaining office information system providing administration support manager director ensuring corporate legal requirement complied reporting head unit company british council description responsibility developing new specific new project initiative music film visual art sector consultation council key stakeholder planning managing budget supporting marketing performance event social medium direct mail advertising use website producing poster publicity leaflet attracting medium coverage programming outreach workshop respective programme company aircheck india description company intended launch station metro august mumbai station win basic infrastructure includes studio production facility transmission tower station located central mumbai responsibility generating researching idea programme pitching commission sourcing potential contributor interviewee selecting music appropriate programme audience station producing preproduction briefing presenter reporter technical staff contributor managing logistics getting people resource equipment together right place right time undertaking editing interviewing reporting duty necessary presenting programme managing presenter prerecorded recorded output checking copyright cleared understanding medium law using editing mixing software like sonic foundry vega sonic foundry sound forge acid midi company rave magazine description rave magazine definitive voice music emerging indian subcontinent lifestyle surround exclusive reporting unique sensibility editorial team year experience publishing rave magazine cover every genre music emerging region provides new perspective international music responsibility maintain production schedule report progress overview staff manage supervise photographer freelance writer generally provide administrative support editor participated production meeting brain storming session decide direction future trend content publication company event description event event management company primarily dealing corporate client used different event increase audience exposure brand responsibility development production delivery project proposal right delivery delivering event time within budget maintaining timeline priority every project managing supplier relationship managing operational administrative function ensure specific project delivered efficiently company banyan tree communication description responsibility sourcing potential contributor interviewee selecting music appropriate programme audience station undertaking editing interviewing reporting duty necessary checking copyright cleared understanding medium law company french embassy description part time basis company british council description mumbai advice student various academic opportunity united kingdom assisted various exhibition british council
